,Unnamed: 0,Feature_Index,T-Value,P-Value,Test_Name
0,529,530,-1.978,0.0480994787582043,Mann_Whitney
1,904,905,-2.535,0.0112964237408724,Mann_Whitney
2,1177,1178,-2.255,0.0242442728241014,Mann_Whitney
3,1436,1437,-2.178,0.029527867436516,Mann_Whitney
4,1658,1659,-2.101,0.0357734411771123,Mann_Whitney
5,1659,1660,-2.079,0.0377752220409098,Mann_Whitney
6,1660,1661,-2.535,0.0112962440064131,Mann_Whitney
7,1663,1664,-2.105,0.0354741565501871,Mann_Whitney
8,1669,1670,-2.479,0.0132484697277395,Mann_Whitney
9,1676,1677,-2.6,0.0093684045208304,Mann_Whitney
10,1677,1678,-2.629,0.0086052328365558,Mann_Whitney
11,1678,1679,-2.094,0.0363797144198195,Mann_Whitney
12,1681,1682,-2.498,0.0125669198153787,Mann_Whitney
13,1684,1685,-2.077,0.0379331826402992,Mann_Whitney
14,1691,1692,-2.359,0.0184014060097852,Mann_Whitney
15,1828,1829,-2.31,0.0210048379681807,Mann_Whitney
16,1831,1832,-2.0,0.0456407559679682,Mann_Whitney
17,2130,2131,-2.07,0.0385707599727763,Mann_Whitney
18,2134,2135,-2.166,0.030433382601913,Mann_Whitney
19,2150,2151,-2.323,0.0202564344806234,Mann_Whitney
20,2314,2315,-2.156,0.0312276380124542,Mann_Whitney
21,2321,2322,-2.714,0.0066724142834252,Mann_Whitney
22,2336,2337,-2.518,0.0118590801938953,Mann_Whitney
23,2352,2353,-2.195,0.0282751881212402,Mann_Whitney
24,2367,2368,-1.97,0.0490737569150438,Mann_Whitney
25,2379,2380,-2.065,0.0390543850264231,Mann_Whitney
26,2389,2390,-2.923,0.0034871612369894,Mann_Whitney
27,2397,2398,-2.559,0.0105486321570828,Mann_Whitney
28,2399,2400,-2.012,0.0443615237267605,Mann_Whitney
29,2486,2487,-2.781,0.005446140797886,Mann_Whitney
30,2625,2626,-2.38,0.0174094759212136,Mann_Whitney
31,2629,2630,-2.211,0.027186541530011,Mann_Whitney
32,2702,2703,-2.612,0.0090471471773711,Mann_Whitney
33,2770,2771,-2.614,0.0090021031747169,Mann_Whitney
34,2776,2777,-2.103,0.0356238856551878,Mann_Whitney
35,2851,2852,-3.065,0.002191549643439,Mann_Whitney
36,3004,3005,-2.175,0.0297843581079233,Mann_Whitney
37,3082,3083,-2.171,0.0300425801501679,Mann_Whitney
38,3150,3151,-2.009,0.0447241286735237,Mann_Whitney
39,3232,3233,-2.441,0.0147100562121931,Mann_Whitney
40,3241,3242,-2.279,0.0227772956089892,Mann_Whitney
41,3390,3391,-2.354,0.0186570032687353,Mann_Whitney
42,3473,3474,-2.192,0.0285218551444749,Mann_Whitney
43,3483,3484,-1.982,0.0477138305303437,Mann_Whitney
44,3487,3488,-2.875,0.0040614741817897,Mann_Whitney
45,3571,3572,-2.26,0.0239230927313691,Mann_Whitney
46,3656,3657,-2.101,0.0357740516279138,Mann_Whitney
47,3657,3658,-2.211,0.0271868798447201,Mann_Whitney
48,3886,3887,-2.159,0.0309609626200173,Mann_Whitney
49,3908,3909,-2.24,0.0252299357193822,Mann_Whitney
50,3917,3918,-2.711,0.0067414933282113,Mann_Whitney
51,3984,3985,-2.364,0.0181488786773427,Mann_Whitney
52,3985,3986,-2.014,0.0441813865598387,Mann_Whitney
53,4073,4074,-1.975,0.0484867517361432,Mann_Whitney
54,4149,4150,-2.253,0.0243523692493099,Mann_Whitney
55,4164,4165,-2.363,0.0182327578082642,Mann_Whitney
56,4439,4440,-1.98,0.0479061445457097,Mann_Whitney
57,4441,4442,-2.431,0.0151326562193789,Mann_Whitney
58,4853,4854,-2.178,0.0295280464024013,Mann_Whitney
59,4902,4903,-2.313,0.0208155830727743,Mann_Whitney
60,4907,4908,-2.706,0.0068463636405283,Mann_Whitney
61,4918,4919,-2.163,0.0306961531684104,Mann_Whitney
62,4922,4923,-2.076,0.038092022574728,Mann_Whitney
63,4945,4946,-2.427,0.015275748687224,Mann_Whitney
64,4952,4953,-2.055,0.0400371004807804,Mann_Whitney
65,4974,4975,-2.132,0.0331520772554003,Mann_Whitney
66,5118,5119,-2.27,0.0232921673448446,Mann_Whitney
67,5361,5362,-1.987,0.0471406565595208,Mann_Whitney
68,5461,5462,-2.265,0.0236056857252639,Mann_Whitney
69,5624,5625,-2.216,0.0268326257270336,Mann_Whitney
70,5634,5635,-2.077,0.0379334998360129,Mann_Whitney
71,5672,5673,-2.004,0.045272364834706,Mann_Whitney
72,5767,5768,-2.117,0.0344412071134812,Mann_Whitney
73,5836,5837,-2.041,0.0413803660222635,Mann_Whitney
74,5991,5992,-2.055,0.0400371004807804,Mann_Whitney
75,5996,5997,-2.901,0.0037439447249971,Mann_Whitney
76,6204,6205,-2.761,0.0057999101312187,Mann_Whitney
77,6274,6275,-2.306,0.0211957329245118,Mann_Whitney
