,Unnamed: 0,Feature_Index,T-Value,P-Value,Test_Name
9,1676,1677,-2.6,0.0093684045208304,Mann_Whitney
10,1677,1678,-2.629,0.0086052328365558,Mann_Whitney
21,2321,2322,-2.714,0.0066724142834252,Mann_Whitney
26,2389,2390,-2.923,0.0034871612369894,Mann_Whitney
29,2486,2487,-2.781,0.005446140797886,Mann_Whitney
32,2702,2703,-2.612,0.0090471471773711,Mann_Whitney
33,2770,2771,-2.614,0.0090021031747169,Mann_Whitney
35,2851,2852,-3.065,0.002191549643439,Mann_Whitney
44,3487,3488,-2.875,0.0040614741817897,Mann_Whitney
50,3917,3918,-2.711,0.0067414933282113,Mann_Whitney
60,4907,4908,-2.706,0.0068463636405283,Mann_Whitney
75,5996,5997,-2.901,0.0037439447249971,Mann_Whitney
76,6204,6205,-2.761,0.0057999101312187,Mann_Whitney
88,6624,6625,-2.699,0.0069885949284215,Mann_Whitney
90,6855,6856,-2.815,0.0048997165268586,Mann_Whitney
93,7684,7685,-2.887,0.0039103819232824,Mann_Whitney
94,7692,7693,-2.744,0.0061101902905126,Mann_Whitney
104,8826,8827,-2.583,0.0098449162902292,Mann_Whitney
105,8827,8828,-2.954,0.003157908643314,Mann_Whitney
116,9063,9064,-2.605,0.0092294969969498,Mann_Whitney
119,9116,9117,-2.631,0.008562160554659,Mann_Whitney
133,9928,9929,-2.841,0.0045229434280778,Mann_Whitney
157,11292,11293,-2.65,0.0081004461669715,Mann_Whitney
158,11682,11683,-2.928,0.0034302055399349,Mann_Whitney
167,12005,12006,-2.749,0.0060155026356629,Mann_Whitney
169,12148,12149,-2.66,0.0078583363489782,Mann_Whitney
174,12205,12206,-3.167,0.0015483425406434,Mann_Whitney
176,12304,12305,-3.118,0.0018337013618914,Mann_Whitney
178,12315,12316,-3.14,0.0017002798160801,Mann_Whitney
184,12461,12462,-2.87,0.0041279352103459,Mann_Whitney
191,12938,12939,-2.774,0.0055618645602479,Mann_Whitney
200,13261,13262,-2.6,0.0093682094506459,Mann_Whitney
217,13588,13589,-3.235,0.0012215706005331,Mann_Whitney
227,14434,14435,-2.837,0.0045716541547517,Mann_Whitney
229,14593,14594,-3.083,0.0020578261731859,Mann_Whitney
230,14605,14606,-2.744,0.0061101902905126,Mann_Whitney
231,14619,14620,-2.819,0.0048478273384386,Mann_Whitney
238,15120,15121,-3.061,0.0022167146551808,Mann_Whitney
243,15470,15471,-2.699,0.0069885637725488,Mann_Whitney
248,15989,15990,-3.135,0.0017303001298655,Mann_Whitney
250,16046,16047,-2.67,0.0076224638286062,Mann_Whitney
257,16570,16571,-3.186,0.0014512815286374,Mann_Whitney
271,17719,17720,-2.737,0.0062385185403315,Mann_Whitney
281,17842,17843,-3.0,0.0027171667617487,Mann_Whitney
283,17845,17846,-2.757,0.0058607507601798,Mann_Whitney
